2022-07-11/18:37:03		Start of Training
2022-07-11/18:37:03		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\data_preprocessing\preprocessing.py] line number [91] error message ["['fraud_reported'] not found in axis"].
2022-07-11/18:50:42		Start of Training
2022-07-11/18:50:42		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\data_preprocessing\preprocessing.py] line number [157] error message [No value is repeated more than once in the column].
2022-07-11/18:57:03		Start of Training
2022-07-11/18:57:03		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\data_preprocessing\clustering.py] line number [32] error message [Input contains NaN, infinity or a value too large for dtype('float64').].
2022-07-11/20:12:15		Start of Training
2022-07-11/20:12:16		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [135] error message [Error occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [94] error message [Found input variables with inconsistent numbers of samples: [392, 263]].].
2022-07-11/20:17:21		Start of Training
2022-07-11/20:17:22		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\data_preprocessing\preprocessing.py] line number [187] error message ["['capital_loss', 'capital_gains'] not in index"].
2022-07-11/20:20:52		Start of Training
2022-07-11/20:20:53		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [135] error message [Error occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [94] error message [Found input variables with inconsistent numbers of samples: [50, 31]].].
2022-07-11/23:44:16		Start of Training
2022-07-11/23:44:17		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [135] error message [Error occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [94] error message [Found input variables with inconsistent numbers of samples: [392, 263]].].
2022-07-12/00:05:05		Start of Training
2022-07-12/00:05:06		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [131] error message [Error occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [90] error message [Found input variables with inconsistent numbers of samples: [392, 263]].].
2022-07-12/00:19:06		Start of Training
2022-07-12/00:19:07		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [131] error message [Error occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [90] error message [Found input variables with inconsistent numbers of samples: [392, 263]].].
2022-07-12/00:34:41		Start of Training
2022-07-12/00:34:41		Unsuccessful End of Training'DataFrame' object has no attribute 'reshape'
2022-07-12/00:39:22		Start of Training
2022-07-12/00:39:23		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\data_preprocessing\preprocessing.py] line number [96] error message ['DataFrame' object has no attribute 'reshape'].
2022-07-12/00:40:50		Start of Training
2022-07-12/00:40:50		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\data_preprocessing\preprocessing.py] line number [96] error message ['DataFrame' object has no attribute 'reshape'].
2022-07-12/01:04:20		Start of Training
2022-07-12/01:04:21		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [131] error message [Error occurred python script name [B:\project\fraud_detection\best_model_finder\tunner.py] line number [90] error message [Found input variables with inconsistent numbers of samples: [392, 263]].].
2022-07-12/01:43:19		Start of Training
2022-07-12/01:43:19		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\data_preprocessing\preprocessing.py] line number [267] error message ['Only the Series name can be used for the key in Series dtype mappings.'].
2022-07-12/01:47:55		Start of Training
2022-07-12/01:47:55		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\data_preprocessing\clustering.py] line number [32] error message [could not convert string to float: 'YES'].
2022-07-12/09:52:29		Start of Training
2022-07-12/09:52:31		Unsuccessful End of Training
2022-07-12/09:56:04		Start of Training
2022-07-12/09:56:04		Unsuccessful End of Training
2022-07-12/10:00:51		Start of Training
2022-07-12/10:01:03		Successful End of Training
